rev_id,auto_labeled,damaging,goodfaith,rev_link,username,anonymous,first_edit_time,edit_years,label_damage,confidence_damage,label_faith,confidence_faith
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,7,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,7,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,7,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,10,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,10,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,10,FALSE,0.79186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,10,FALSE,0.49186512,TRUE,0.540945798
621666815,FALSE,FALSE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,10,FALSE,0.65186512,TRUE,0.540945798
621666815,FALSE,TRUE,FALSE,https://en.wikipedia.org/w/index.php?oldid=621666815,Nightphoenix90,FALSE,5/15/13 23:16,6,FALSE,0.79186512,TRUE,0.540945798
639361284,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=639361284,95.148.117.63,TRUE,12/23/14 17:16,6,FALSE,0.071440873,TRUE,0.957285982
624597910,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=624597910,ArmbrustBot,FALSE,3/21/13 17:38,7,FALSE,0.012124874,TRUE,0.989103623
648949589,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=648949589,Sfan00_IMG,FALSE,7/20/07 12:57,13,FALSE,0.019159607,TRUE,0.989152305
635962509,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=635962509,WP_1.0_bot,FALSE,2/4/07 22:52,13,FALSE,0.006860744,TRUE,0.9950796
617144508,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=617144508,Bearcat,FALSE,10/3/03 23:52,17,FALSE,0.023446316,TRUE,0.982514715
643666022,FALSE,FALSE,TRUE,https://en.wikipedia.org/w/index.php?oldid=643666022,Caedmonconstrued,FALSE,11/23/14 13:31,6,FALSE,0.012169306,TRUE,0.994085212
